package,count,api
org.apache.tools.ant,29,ant:ant
org.fusesource.leveldbjni,4,org.fusesource.leveldbjni:leveldbjni
org.hamcrest,234,org.hamcrest:hamcrest-all
org.apache.commons.lang3.tuple,46,org.apache.commons:commons-lang3
com.almasb.fxgl.event,1,com.github.almasb:fxgl-core
org.springframework.retry.support,1,org.springframework.retry:spring-retry
com.fasterxml.jackson.core.type,29,fish.payara.extras:payara-embedded-all
rx,13,io.reactivex:rxjava
org.atmosphere.handler,1,org.atmosphere:atmosphere-runtime
org.apache.http.message,22,org.apache.httpcomponents:httpcore
com.google.zxing.common,16,com.google.zxing:core
com.avaje.ebeaninternal.server,2,org.avaje:ebean
org.apache.commons.collections4.iterators,3,org.apache.commons:commons-collections4
org.mockito,453,org.mockito:mockito-core
com.ryantenney.metrics.spring.config.annotation,1,com.ryantenney.metrics:metrics-spring
io.appium.java_client.android,5,io.appium:java-client
org.apache.rocketmq.client.producer,7,org.apache.rocketmq:rocketmq-client
com.itextpdf.text.pdf,8,com.itextpdf:itextpdf
org.gwtproject.i18n.client,1,org.dominokit.i18n:gwt-numberformat
cn.dreampie.security.credential,1,cn.dreampie:resty-security
org.bouncycastle.crypto.macs,6,org.bouncycastle:bcprov-jdk15on
com.almasb.fxgl.entity.components,1,com.github.almasb:fxgl-entity
com.almasb.fxgl.io,1,com.github.almasb:fxgl-io
org.cornutum.tcases.openapi.resolver,1,org.cornutum.tcases:tcases-openapi
io.takari.maven.testing,5,io.takari.maven.plugins:takari-plugin-testing
com.devskiller.friendly_id.jackson,1,com.devskiller.friendly-id:friendly-id-jackson-datatype
net.sf.jsqlparser.expression,9,com.github.jsqlparser:jsqlparser
org.apache.http.client.protocol,36,org.apache.httpcomponents:httpclient
org.assertj.core.api,195,org.assertj:assertj-core
edu.uci.ics.jung.visualization.renderers,2,net.sf.jung:jung-visualization
com.github.sommeri.less4j,1,com.github.sommeri:less4j
org.springframework.test.context.support,9,org.springframework:spring-test
org.sonar.api.rules,11,org.codehaus.sonar:sonar-plugin-api
com.github.dreamroute.sqlprinter.starter.interceptor,1,com.github.dreamroute:sqlprinter-spring-boot-starter
com.nimbusds.jwt,2,com.nimbusds:nimbus-jose-jwt
org.jsoup.safety,19,org.jsoup:jsoup
io.vavr,6,io.vavr:vavr
org.eclipse.lsp4j.services,2,org.eclipse.lsp4j:org.eclipse.lsp4j
edu.uci.ics.jung.visualization.picking,2,net.sf.jung:jung-visualization
jsinterop.base,2,com.google.jsinterop:base
com.github.dreamroute.sqlprinter.starter.anno,1,com.github.dreamroute:sqlprinter-spring-boot-starter
org.locationtech.jts.geom.prep,3,org.locationtech.jts:jts-core
org.hibernate.bytecode,2,org.hibernate:hibernate-core
org.quartz.spi,7,org.quartz-scheduler:quartz
org.eclipse.collections.impl.test,2,org.eclipse.collections:eclipse-collections-testutils
org.testcontainers.containers,23,org.testcontainers:oracle-xe
org.deepsymmetry.electro,1,org.deepsymmetry:electro
net.dankito.readability4j,1,net.dankito.readability4j:readability4j
com.alibaba.excel,4,com.alibaba:easyexcel
org.elasticsearch.action,31,org.elasticsearch:elasticsearch
com.almasb.fxgl.dsl,2,com.github.almasb:fxgl
com.cloudrail.si.exceptions,1,com.cloudrail:cloudrail-si-java
com.github.jknack.handlebars,4,com.github.jknack:handlebars
org.sonar.java.model,2,org.sonarsource.java:java-frontend
org.cyclonedx.generators,1,org.cyclonedx:cyclonedx-core-java
