api1,package1,api2,package2,count,count1,count2,proportion1,proportion2,maxProportion
org.hamcrest:hamcrest-all,org.hamcrest,org.testng:testng,org.testng.annotations,16,234,114,0.07,0.14,0.14
fish.payara.extras:payara-embedded-all,com.fasterxml.jackson.databind,org.testng:testng,org.testng.annotations,16,234,114,0.07,0.14,0.14
fish.payara.extras:payara-embedded-all,com.fasterxml.jackson.databind,org.apache.hbase.thirdparty:hbase-shaded-miscellaneous,org.apache.commons.cli,15,234,111,0.06,0.14,0.14
org.apache.httpcomponents:httpclient-win,org.apache.http.impl.client,org.testng:testng,org.testng,13,131,103,0.1,0.13,0.13
junit:junit,org.junit,org.junit.jupiter:junit-jupiter-api,org.junit.jupiter.api,15,1081,120,0.01,0.13,0.13
fish.payara.extras:payara-embedded-all,com.fasterxml.jackson.databind,org.junit.jupiter:junit-jupiter-api,org.junit.jupiter.api,16,234,120,0.07,0.13,0.13
org.apache.hbase.thirdparty:hbase-shaded-miscellaneous,org.apache.commons.cli,junit:junit,org.junit.runners,14,111,321,0.13,0.04,0.13
fish.payara.extras:payara-embedded-all,com.fasterxml.jackson.databind,org.hamcrest:hamcrest-all,org.hamcrest,30,234,234,0.13,0.13,0.13
commons-codec:commons-codec,org.apache,org.testng:testng,org.testng,13,171,103,0.08,0.13,0.13
org.projectlombok:lombok,lombok,org.gradle:gradle-tooling-api,org.apache.commons.io,21,162,305,0.13,0.07,0.13
fish.payara.extras:payara-embedded-all,com.fasterxml.jackson.databind,org.assertj:assertj-core,org.assertj.core.api,26,234,195,0.11,0.13,0.13
org.gradle:gradle-tooling-api,org.apache.commons.io,org.junit.jupiter:junit-jupiter-api,org.junit.jupiter.api,14,305,120,0.05,0.12,0.12
org.apache.hbase.thirdparty:hbase-shaded-miscellaneous,org.apache.commons.cli,junit:junit,org.junit.rules,13,111,266,0.12,0.05,0.12
commons-codec:commons-codec,org.apache,org.assertj:assertj-core,org.assertj.core.api,21,171,195,0.12,0.11,0.12
junit:junit,junit.framework,org.assertj:assertj-core,org.assertj.core.api,24,366,195,0.07,0.12,0.12
fish.payara.extras:payara-embedded-all,com.fasterxml.jackson.databind,junit:junit,junit.framework,29,234,366,0.12,0.08,0.12
org.apache.httpcomponents:httpclient,org.apache.http.client.methods,org.testng:testng,org.testng,12,128,103,0.09,0.12,0.12
com.aliyun.openservices:ons-client,org.apache.commons.lang3,junit:junit,org.junit.rules,31,287,266,0.11,0.12,0.12
org.hamcrest:hamcrest-all,org.hamcrest,org.testng:testng,org.testng,12,234,103,0.05,0.12,0.12
com.aliyun.openservices:ons-client,com.alibaba.fastjson,fish.payara.extras:payara-embedded-all,com.fasterxml.jackson.databind,15,128,234,0.12,0.06,0.12
org.mockito:mockito-core,org.mockito.invocation,org.testng:testng,org.testng.annotations,12,118,114,0.1,0.11,0.11
org.mockito:mockito-core,org.mockito.invocation,org.testng:testng,org.testng,11,118,103,0.09,0.11,0.11
commons-codec:commons-codec,org.apache,org.junit.jupiter:junit-jupiter-api,org.junit.jupiter.api,13,171,120,0.08,0.11,0.11
commons-codec:commons-codec,org.apache,org.testng:testng,org.testng.annotations,13,171,114,0.08,0.11,0.11
org.apache.httpcomponents:httpclient,org.apache.http.client.methods,org.testng:testng,org.testng.annotations,12,128,114,0.09,0.11,0.11
org.apache.httpcomponents:httpclient-win,org.apache.http.impl.client,org.testng:testng,org.testng.annotations,13,131,114,0.1,0.11,0.11
org.projectlombok:lombok,lombok,junit:junit,org.junit.runners,18,162,321,0.11,0.06,0.11
junit:junit,junit.framework,org.testng:testng,org.testng.annotations,13,366,114,0.04,0.11,0.11
org.projectlombok:lombok,lombok,org.mockito:mockito-core,org.mockito.invocation,12,162,118,0.07,0.1,0.1
commons-codec:commons-codec,org.apache,org.mockito:mockito-core,org.mockito.invocation,12,171,118,0.07,0.1,0.1
junit:junit,junit.framework,com.aliyun.openservices:ons-client,org.apache.commons.lang3,30,366,287,0.08,0.1,0.1
org.assertj:assertj-core,org.assertj.core.api,org.hamcrest:hamcrest-all,org.hamcrest,19,195,234,0.1,0.08,0.1
org.assertj:assertj-core,org.assertj.core.api,org.testng:testng,org.testng.annotations,11,195,114,0.06,0.1,0.1
org.projectlombok:lombok,lombok,org.assertj:assertj-core,org.assertj.core.api,16,162,195,0.1,0.08,0.1
org.projectlombok:lombok,lombok,org.testng:testng,org.testng,9,162,103,0.06,0.09,0.09
org.projectlombok:lombok,lombok,junit:junit,org.junit.rules,14,162,266,0.09,0.05,0.09
org.apache.hbase.thirdparty:hbase-shaded-miscellaneous,org.apache.commons.cli,org.apache.httpcomponents:httpclient-win,org.apache.http.impl.client,10,111,131,0.09,0.08,0.09
org.apache.hbase.thirdparty:hbase-shaded-miscellaneous,org.apache.commons.cli,org.junit.jupiter:junit-jupiter-api,org.junit.jupiter.api,10,111,120,0.09,0.08,0.09
org.projectlombok:lombok,lombok,org.apache.httpcomponents:httpclient,org.apache.http.client.methods,11,162,128,0.07,0.09,0.09
org.projectlombok:lombok,lombok,commons-codec:commons-codec,org.apache,15,162,171,0.09,0.09,0.09
org.junit.jupiter:junit-jupiter-api,org.junit.jupiter.api,junit:junit,org.junit.runner,11,120,489,0.09,0.02,0.09
org.projectlombok:lombok,lombok,org.apache.httpcomponents:httpclient-win,org.apache.http.impl.client,12,162,131,0.07,0.09,0.09
com.aliyun.openservices:ons-client,com.alibaba.fastjson,commons-codec:commons-codec,org.apache,12,128,171,0.09,0.07,0.09
org.apache.hbase.thirdparty:hbase-shaded-miscellaneous,org.apache.commons.cli,org.apache.httpcomponents:httpclient,org.apache.http.client.methods,9,111,128,0.08,0.07,0.08
org.apache.httpcomponents:httpclient-win,org.apache.http.impl.client,org.assertj:assertj-core,org.assertj.core.api,10,131,195,0.08,0.05,0.08
junit:junit,org.junit.runner,org.testng:testng,org.testng,8,489,103,0.02,0.08,0.08
junit:junit,org.junit.runners,org.testng:testng,org.testng,8,321,103,0.02,0.08,0.08
org.apache.httpcomponents:httpclient-win,org.apache.http.impl.client,org.mockito:mockito-core,org.mockito.invocation,10,131,118,0.08,0.08,0.08
org.projectlombok:lombok,lombok,org.junit.jupiter:junit-jupiter-api,org.junit.jupiter.api,10,162,120,0.06,0.08,0.08
org.projectlombok:lombok,lombok,org.hamcrest:hamcrest-all,org.hamcrest,13,162,234,0.08,0.06,0.08
org.junit.jupiter:junit-jupiter-api,org.junit.jupiter.api,org.mockito:mockito-core,org.mockito.invocation,9,120,118,0.08,0.08,0.08
org.junit.jupiter:junit-jupiter-api,org.junit.jupiter.api,junit:junit,org.junit.runners,9,120,321,0.08,0.03,0.08
org.apache.httpcomponents:httpclient,org.apache.http.client.methods,org.mockito:mockito-core,org.mockito.invocation,9,128,118,0.07,0.08,0.08
org.projectlombok:lombok,lombok,org.testng:testng,org.testng.annotations,9,162,114,0.06,0.08,0.08
org.assertj:assertj-core,org.assertj.core.api,org.testng:testng,org.testng,8,195,103,0.04,0.08,0.08
junit:junit,org.junit.rules,org.testng:testng,org.testng,7,266,103,0.03,0.07,0.07
junit:junit,junit.framework,org.junit.jupiter:junit-jupiter-api,org.junit.jupiter.api,8,366,120,0.02,0.07,0.07
org.apache.hbase.thirdparty:hbase-shaded-miscellaneous,org.apache.commons.cli,org.mockito:mockito-core,org.mockito.invocation,8,111,118,0.07,0.07,0.07
org.apache.hbase.thirdparty:hbase-shaded-miscellaneous,org.apache.commons.cli,org.hamcrest:hamcrest-all,org.hamcrest,7,111,234,0.06,0.03,0.06
org.apache.hbase.thirdparty:hbase-shaded-miscellaneous,org.apache.commons.cli,org.assertj:assertj-core,org.assertj.core.api,7,111,195,0.06,0.04,0.06
org.junit.jupiter:junit-jupiter-api,org.junit.jupiter.api,junit:junit,org.junit.rules,7,120,266,0.06,0.03,0.06
com.aliyun.openservices:ons-client,com.alibaba.fastjson,org.mockito:mockito-core,org.mockito,8,128,453,0.06,0.02,0.06
junit:junit,org.junit.rules,org.testng:testng,org.testng.annotations,7,266,114,0.03,0.06,0.06
junit:junit,junit.framework,org.projectlombok:lombok,lombok,10,366,162,0.03,0.06,0.06
org.apache.hbase.thirdparty:hbase-shaded-miscellaneous,org.apache.commons.cli,org.testng:testng,org.testng,6,111,103,0.05,0.06,0.06
junit:junit,org.junit.runners,org.testng:testng,org.testng.annotations,6,321,114,0.02,0.05,0.05
junit:junit,org.junit.runner,org.testng:testng,org.testng.annotations,6,489,114,0.01,0.05,0.05
org.apache.hbase.thirdparty:hbase-shaded-miscellaneous,org.apache.commons.cli,org.testng:testng,org.testng.annotations,6,111,114,0.05,0.05,0.05
org.apache.httpcomponents:httpclient,org.apache.http.client.methods,org.assertj:assertj-core,org.assertj.core.api,7,128,195,0.05,0.04,0.05
