repositoryName,packages
AdoptOpenJDK/mjprof,"[org.junit,junit.framework,org.reflections]"
AgNO3/jcifs-ng,"[org.slf4j,org.junit.runner,org.bouncycastle.crypto.generators,org.bouncycastle.crypto.digests,org.junit,org.bouncycastle.jce.provider,org.bouncycastle.crypto,org.bouncycastle.util,org.bouncycastle.util.encoders,org.bouncycastle.crypto.macs,org.junit.runners,org.bouncycastle.crypto.params,org.bouncycastle.asn1]"
Alfresco/alfresco-sdk,"[org.apache.http.client,org.apache.maven.project,org.apache.commons.net,org.apache.maven.plugins.annotations,org.apache.http.client.protocol,org.apache.maven.it,org.apache.http.client.methods,org.apache.http.client.entity,org.springframework.beans,org.springframework.context,org.codehaus.plexus.archiver,org.twdata.maven.mojoexecutor,org.slf4j,org.junit.rules,org.junit.runner,org.apache.http.impl.auth,org.junit,org.apache.maven.plugin.logging,org.apache.http.impl.client,org.codehaus.plexus.archiver.zip,org.apache.maven.plugin,org.zeroturnaround.zip,org.apache.http.auth,org.apache.maven.execution,org.apache.commons.net.telnet,org.junit.runners]"
AlibabaTech/fastjson,"[org.codehaus.jackson.type,org.json.simple,groovy.lang,com.fasterxml.jackson.databind.node,org.codehaus.jackson,com.google,org.springframework.http.converter,org.codehaus.jackson.map,org.springframework.http,net.sf.cglib.proxy,org.codehaus.jackson.node,org.json.simple.parser,org.junit,junit.framework,com.fasterxml.jackson.databind,net.minidev.json,org.codehaus.jackson.sym,org.apache.commons.io]"
AliwareMQ/aliware-kafka-demos,"[com.alibaba.fastjson,org.apache.kafka.streams,org.apache.zookeeper.data,org.apache.zookeeper,com.google,com.aliyuncs.http,com.aliyuncs.alikafka.model.v20181015,org.apache.kafka.common.config,org.apache.kafka.common.utils,com.aliyuncs.profile,org.springframework.kafka.support,org.slf4j,com.aliyuncs.exceptions,org.apache.kafka.streams.kstream,com.aliyuncs,org.springframework.kafka.core,org.springframework.util.concurrent,org.reflections,org.springframework.kafka.listener,com.beust.jcommander,org.apache.kafka.common.errors,org.apache.kafka.clients,org.apache.kafka.clients.consumer,org.apache.kafka.common.serialization,org.apache.kafka.clients.producer]"
AlmasB/FXGL,"[com.almasb.fxgl.core.serialization,com.almasb.fxgl.dsl.views,com.almasb.fxgl.dsl,com.almasb.fxgl.localization,com.almasb.fxgl.pathfinding,com.almasb.fxgl.inventory.view,com.almasb.fxgl.core.reflect,com.almasb.fxgl.app.scene,com.almasb.fxgl.input.virtual,com.almasb.fxgl.entity.components,com.almasb.fxgl.minigames.sweetspot,com.almasb.fxgl.texture,com.almasb.fxgl.cutscene,org.junit.jupiter.api,com.almasb.fxgl.achievement,com.almasb.fxgl.time,com.almasb.fxgl.event,com.almasb.fxgl.logging,com.almasb.fxgl.entity.action,org.hamcrest,com.almasb.fxgl.input.view,com.almasb.fxgl.core.concurrent,com.almasb.fxgl.core.collection,com.almasb.fxgl.io,kotlin.system,com.almasb.fxgl.multiplayer,com.almasb.fxgl.controllerinput,com.almasb.fxgl.input,com.almasb.fxgl.dsl.effects,kotlin,com.almasb.fxgl.net,com.almasb.fxgl.ai.senseai,com.almasb.fxgl.core.pool,com.almasb.fxgl.minigames,com.almasb.fxgl.app,com.almasb.fxgl.app.services,com.almasb.fxgl.entity.level,com.almasb.fxgl.core.math,com.almasb.fxgl.dsl.components,com.almasb.fxgl.physics,com.almasb.fxgl.core.util,com.almasb.fxgl.procedural,com.almasb.fxgl.scene,com.almasb.fxgl.minigames.triggersequence,com.almasb.fxgl.pathfinding.maze,com.almasb.fxgl.pathfinding.astar,com.almasb.fxgl.physics.box2d,com.almasb.fxgl.cutscene.dialogue,com.almasb.fxgl.trade.view,com.almasb.fxgl.profile,com.almasb.fxgl.scene3d,com.almasb.fxgl.ui,com.almasb.fxgl.inventory,com.almasb.fxgl.entity,com.almasb.fxgl.notification,com.almasb.fxgl.particle,com.almasb.fxgl.minigames.triggermash,com.almasb.fxgl.animation,com.almasb.fxgl.trade,com.almasb.fxgl.core,com.almasb.fxgl.entity.state,com.almasb.fxgl.entity.component]"
AlmasB/FXGLGames,"[com.almasb.fxgl.app,com.almasb.fxgl.dsl,com.almasb.fxgl.dsl.views,com.almasb.fxgl.scene3d,com.almasb.fxgl.app.scene,com.almasb.fxgl.dsl.components,com.almasb.fxgl.multiplayer]"
AmadeusITGroup/sonar-stash,"[org.assertj.core.api,org.sonar.api,com.github.tomakehurst.wiremock.stubbing,org.awaitility.core,com.github.tomakehurst.wiremock,org.mockito.quality,org.sonar.api.batch,com.github.tomakehurst.wiremock.client,org.sonar.api.scan,org.sonar.api.resources,org.sonar.api.utils,org.asynchttpclient,com.github.cliftonlabs.json_simple,com.github.tomakehurst.wiremock.verification,com.google,org.mockito,org.sonar.api.config,org.sonar.api.platform,com.github.tomakehurst.wiremock.extension,org.sonar.api.rule,com.github.tomakehurst.wiremock.http,org.awaitility,org.mockito.junit.jupiter,org.picocontainer,com.github.tomakehurst.wiremock.common,org.asynchttpclient.config,com.github.tomakehurst.wiremock.matching,org.mockito.stubbing,com.github.tomakehurst.wiremock.core]"
AndreyVMarkelov/jira-prometheus-exporter,"[io.prometheus.client,io.prometheus.client.hotspot,org.apache.commons.lang3.math,io.prometheus.client.exporter.common,org.apache.commons.lang3]"
Antabot/White-Jotter,"[org.apache.shiro.spring.web,org.apache.shiro.spring.security,org.apache.shiro.spring]"
AnujaK/restfiddle,"[com.mongodb,com.mangofactory.swagger.configuration,org.apache.http.client.utils,org.apache.http.client,com.jayway.jsonpath,com.jayway.jsonpath.spi,org.apache.http.client.protocol,org.bson.types,com.ryantenney.metrics.spring.config.annotation,org.apache.http.client.methods,org.bson,org.apache.http.client.entity,com.sendgrid,com.mongodb.util,com.google.api.client.auth.oauth2,org.apache.http.impl.auth,org.apache.http.impl.client,com.mangofactory.swagger.plugin,org.apache.http.auth,net.sf.jasperreports.engine.data,org.apache.commons.lang3.builder,net.sf.jasperreports.engine,org.apache.commons.lang3]"
AppiumTestDistribution/AppiumTestDistribution,"[com.epam.reportportal.cucumber,lombok,org.testng.internal,org.testng.xml,io.appium.java_client.remote,org.im4java.core,io.appium.java_client.android,org.json.simple.parser,org.reflections.scanners,io.appium.java_client,org.openqa.selenium,io.cucumber.testng,io.appium.java_client.service,org.json.simple,org.reflections.util,io.appium.java_client.windows,org.testng.collections,okhttp3,com.jayway.jsonpath,org.mockito,io.cucumber.java.en,org.testng,org.testng.annotations,io.github.bonigarcia.wdm,org.json,com.github.lalyos.jfiglet,io.appium.java_client.ios,org.reflections,org.mockito.stubbing,io.appium.java_client.touch]"
ArcBees/Jukito,"[org.mockito,org.junit.internal,com.google.inject,com.google.inject.assistedinject,org.junit.runner,com.google.inject.spi,com.google.inject.name,org.junit,junit.framework,org.jukito,com.google.inject.internal,org.mockito.stubbing,com.google.inject.binder,org.junit.runners]"
Atmosphere/nettosphere,"[io.netty.util.concurrent,io.netty.buffer,org.atmosphere.handler,io.netty.channel.nio,io.netty.handler.stream,org.atmosphere.jersey,org.asynchttpclient,org.atmosphere.websocket,org.atmosphere.container,org.mockito,io.netty.handler.ssl,io.netty.channel.group,org.testng,io.netty.channel.epoll,io.netty.channel,io.netty.util,org.testng.annotations,org.slf4j,org.atmosphere.util,org.atmosphere.cpr,org.asynchttpclient.ws,io.netty.handler.timeout,org.atmosphere.websocket.protocol,io.netty.handler.codec,io.netty.bootstrap,org.mockito.stubbing,io.netty.channel.socket]"
